Tournament_id_female,Tournament_id_male,Tournament,City,Year,Level,Male/Female, Prize Pool Male , Prize Pool Female , Prize Male Winner , Prize Female Winner ,Attendance Tournament,Viewership Male Final,Viewership Female Final,Nr. Of Players
,,Shanghai_Masters,Shanghai,2012,Masters,Male," € 3,500,000.00 ",," € 690,000.00 ",,160000,2000000,,56
,,Acapulco,Acapulco,2012,ATP_500,Male," € 955,000.00 ",," € 250,000.00 ",,55000,1400000,,32
,,Basel_Open,Basel,2012,ATP_500,Male," € 1,755,000.00 ",," € 341,000.00 ",,68000,1600000,,32
,,Beijing_Open,Beijing,2012,ATP_500,Male," € 2,400,000.00 ",," € 475,000.00 ",,170000,2300000,,32
,,Hamburg_Open,Hamburg,2012,ATP_500,Male," € 1,150,000.00 ",," € 275,000.00 ",,60000,1200000,,48
,,Rotterdam_Open,Rotterdam,2012,ATP_500,Male," € 1,210,000.00 ",," € 310,000.00 ",,103000,1400000,,32
,,Dubai_Duty_Free_Open,Dubai,2012,ATP_500,Male," € 1,600,000.00 ",," € 400,000.00 ",,94000,1700000,,32
,,Barcelona_Open,Barcelona,2012,ATP 500,Male," € 2,072,000.00 ",," € 303,000.00 ",,98000,1500000,,48
,,Seoul_Open,Seoul,2012,WTA_500,Female,," € 220,000.00 ",," € 32,000.00 ",38000,,550000,32
,,Monterrey_Open,Monterrey,2012,WTA_500,Female,," € 220,000.00 ",," € 37,000.00 ",33000,,450000,32
,,Eastbourne_Open,Eastbourne,2012,WTA_500,Female,," € 637,000.00 ",," € 100,000.00 ",33000,,900000,28
,,Strasbourg_Open,Strasbourg,2012,WTA_500,Female,," € 235,000.00 ",," € 43,000.00 ",16500,,600000,32
,,Stuttgart_Open,Stuttgart,2012,WTA_500,Female,," € 795,000.00 ",," € 115,000.00 ",29000,,800000,28
,,Charleston_Open,Charleston,2012,WTA_500,Female,," € 795,000.00 ",," € 115,000.00 ",27000,,600000,32
,,Brisbane_Open,Brisbane,2012,WTA_500,Female,," € 655,000.00 ",," € 111,000.00 ",98000,,850000,30
,,Sydney_Open,Sydney,2012,WTA_500,Female,," € 637,000.00 ",," € 100,000.00 ",82000,,950000,30
,,Tokyo_Open,Tokyo,2012,WTA_500,Female,," € 1,912,500.00 ",," € 327,250.00 ",85000,,1300000,28
,,Moskow_Open,Moscow,2012,WTA_500,Female,," € 1,100,000.00 ",," € 175,000.00 ",64000,,500000,32
,,Australian_Open,Melbourne,2013,Grand_Slam,Both," € 12,350,000.00 "," € 12,350,000.00 "," € 2,070,000.00 "," € 2,070,000.00 ",684457,4500000,3400000,256
,,Roland_Garros,Paris,2013,Grand_Slam,Both," € 10,600,000.00 "," € 10,600,000.00 "," € 1,500,000.00 "," € 1,500,000.00 ",460000,4200000,3400000,256
,,US_Open,New York,2013,Grand_Slam,Both," € 9,850,000.00 "," € 9,850,000.00 "," € 1,650,000.00 "," € 1,650,000.00 ",713000,4600000,3500000,256
,,Wimbledon,London,2013,Grand_Slam,Both," € 9,400,000.00 "," € 9,400,000.00 "," € 1,600,000.00 "," € 1,600,000.00 ",494761,12100000,5300000,256
,,Cincinnati_Open,Cincinnati,2013,Masters,Both," € 3,000,000.00 "," € 3,000,000.00 "," € 500,000.00 "," € 450,000.00 ",191752,1800000,1400000,56
,,Indian_Wells,Indian Wells,2013,Masters,Both," € 4,200,000.00 "," € 4,200,000.00 "," € 830,000.00 "," € 830,000.00 ",382000,2300000,1800000,96
,,Madrid_Open,Madrid,2013,Masters,Both," € 4,100,000.00 "," € 4,100,000.00 "," € 720,000.00 "," € 720,000.00 ",200000,2300000,2300000,56
,,Miami_Open,Miami,2013,Masters,Both," € 4,250,000.00 "," € 4,250,000.00 "," € 715,000.00 "," € 715,000.00 ",310000,2300000,2300000,96
,,Monte_Carlo_Masters,Monte Carlo,2013,Masters,Male," € 2,450,000.00 ",," € 503,000.00 ",,145000,1800000,,56
,,Toronto_Montreal_Open,Toronto and Montreal,2013,Masters,Both," € 2,620,000.00 "," € 2,370,000.00 "," € 490,000.00 "," € 385,000.00 ",160000,2300000,1900000,56
,,Paris_Masters,Paris,2013,Masters,Male," € 3,200,000.00 ",," € 529,000.00 ",,135000,2100000,,56
,,Qatar_Open,Doha,2013,Masters,Both," € 1,250,000.00 "," € 690,000.00 "," € 210,000.00 "," € 95,000.00 ",70000,1300000,950000,56
,,Rome_Open,Rome,2013,Masters,Both," € 3,200,000.00 "," € 2,370,000.00 "," € 530,000.00 "," € 385,000.00 ",185000,2500000,1900000,56
